State,District,Population,Growth (%),Sex Ratio,Literacy (%)
Tamil Nadu,Ramanathapuram,1353445,13.96,983,80.72
Gujarat,Patan,1343734,13.61,935,72.3
Madhya Pradesh,Mandsaur,1340411,13.24,963,71.78
Tamil Nadu,Sivaganga,1339101,15.9,1003,79.85
Rajasthan,Sawai Madhopur,1335551,19.56,897,65.39
Haryana,Jind,1334152,12.13,871,71.44
Madhya Pradesh,Raisen,1331597,18.35,901,72.98
Gujarat,Navsari,1329672,8.15,961,83.88
Assam,Tinsukia,1327929,15.47,952,69.66
Assam,Dibrugarh,1326335,11.92,961,76.05
Jharkhand,Garhwa,1322784,27.75,935,60.33
Maharashtra,Gondiya,1322507,10.14,999,84.95
Jharkhand,Dumka,1321442,19.42,977,61.02
Jharkhand,Godda,1313551,25.35,938,56.4
Madhya Pradesh,Sehore,1311332,21.54,918,70.06
Madhya Pradesh,East Nimar,1310061,21.5,943,66.39
Kerala,Kasaragod,1307375,8.58,1080,90.09
Uttar Pradesh,Baghpat,1303048,11.95,861,72.01
Maharashtra,Wardha,1300774,5.18,946,86.99
Haryana,Sirsa,1295189,15.99,897,68.82
Madhya Pradesh,Katni,1292042,21.41,952,71.98
Orissa,Anugul,1273821,11.74,943,77.53
Tamil Nadu,Thiruvarur,1264277,8.11,1017,82.86
Madhya Pradesh,Damoh,1264219,16.63,910,69.73
Karnataka,Chikkaballapura,1255104,9.23,972,69.76
Assam,Kamrup Metropolitan,1253938,18.34,936,88.71
Tamil Nadu,Theni,1245899,13.89,991,77.26
Madhya Pradesh,Guna,1241519,26.97,912,63.23
Madhya Pradesh,Hoshangabad,1241350,14.49,914,75.29
Jammu and Kashmir,Srinagar,1236829,20.35,900,69.41
Assam,Karimganj,1228686,21.9,963,78.22
Rajasthan,Baran,1222755,19.68,929,66.66
Uttar Pradesh,Lalitpur,1221592,24.94,906,63.52
Orissa,Nabarangapur,1220946,19.03,1019,46.43
Haryana,Yamunanagar,1214205,16.57,877,77.99
Chhattisgarh,Korba,1206640,19.25,969,72.37
Rajasthan,Dhaulpur,1206516,22.71,846,69.08
Haryana,Panipat,1205437,24.6,864,75.94
Maharashtra,Bhandara,1200334,5.65,982,83.76
Kerala,Pathanamthitta,1197412,-2.97,1132,96.55
Maharashtra,Washim,1197160,17.34,930,83.25
Orissa,Dhenkanal,1192811,11.8,947,78.76
Madhya Pradesh,Singrauli,1178273,28.05,920,60.41
Karnataka,Udupi,1177361,5.85,1094,86.24
Maharashtra,Hingoli,1177345,19.27,942,78.17
Karnataka,Yadgir,1174271,22.81,989,51.83
Rajasthan,Rajsamand,1156597,17.18,990,63.14
Assam,Sivasagar,1151050,9.44,954,80.41
Jharkhand,Sahibganj,1150567,24.01,952,52.04
Karnataka,Chikmagalur,1137961,-0.26,1008,79.25
Orissa,Jagatsinghapur,1136971,7.5,968,86.59
Haryana,Ambala,1128350,11.23,885,81.75
Madhya Pradesh,Sidhi,1127033,23.72,957,64.43
Bihar,Jehanabad,1125313,21.68,922,66.8
Punjab,Tarn Taran,1119627,19.23,900,67.81
Uttar Pradesh,Shrawasti,1117361,-5.02,881,46.74
Rajasthan,Bundi,1110906,15.4,925,61.52
Kerala,Idukki,1108974,-1.79,1006,91.99
Uttar Pradesh,Hamirpur,1104285,5.8,861,68.77
Assam,Jorhat,1092256,9.31,962,82.15
Madhya Pradesh,Narsimhapur,1091854,14.01,920,75.69
Haryana,Mewat,1089263,37.93,907,54.08
Karnataka,Ramanagara,1082636,5.05,976,69.22
Jammu and Kashmir,Anantnag,1078692,38.58,927,62.69
Haryana,Kaithal,1074304,13.55,881,69.15
Maharashtra,Gadchiroli,1072942,10.58,982,74.36
Assam,Golaghat,1066888,12.75,964,77.43
Madhya Pradesh,Shahdol,1066063,17.39,974,66.67
Jharkhand,Saraikela Kharsawan,1065056,25.47,956,67.7
Karnataka,Gadag,1064570,9.54,982,75.12
Tamil Nadu,Karur,1064493,13.77,1015,75.6
